job_id,job_title,company,company_name,company_id,location,job_description,keywords,experience,education,salary,job-time,description_length,cleaned_job_description,cleaned_job_description_length
JOB101812,BI Analyst,InsightWorks,InsightWorks,COM007,"Chennai, Tamil Nadu","We are looking for a BI Analyst to join InsightWorks. The candidate should have experience with Tableau, SQL, Excel, Business Intelligence. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 2-4 Years experience and B.Tech / B.E. qualification are preferred.","Tableau, SQL, Excel, Business Intelligence",2-4 Years,B.Tech / B.E.,₹2.5-4 LPA,Remote,364.0,we are looking for a bi analyst to join insightworks the candidate should have experience with tableau sql excel business intelligence responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 2 4 years experience and b tech b e qualification are preferred,350
JOB102215,ML Engineer,BluePeak Digital,BluePeak Digital,COM011,"Mumbai, Maharashtra","We are looking for a ML Engineer to join BluePeak Digital. The candidate should have experience with Java, Spring Boot, SQL, REST API. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 8+ Years experience and Any Graduate qualification are preferred.","Java, Spring Boot, SQL, REST API",8+ Years,Any Graduate,₹4-7 LPA,Remote,357.0,we are looking for a ml engineer to join bluepeak digital the candidate should have experience with java spring boot sql rest api responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 8 years experience and any graduate qualification are preferred,345
JOB100557,Financial Analyst,ByteCraft Solutions,ByteCraft Solutions,COM008,"Nagpur, Maharashtra","We are looking for a Financial Analyst to join ByteCraft Solutions. The candidate should have experience with SQL, Power BI, Excel, DAX. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 8+ Years experience and Any Graduate qualification are preferred.","SQL, Power BI, Excel, DAX",8+ Years,Any Graduate,₹8-12 LPA,Part-Time,359.0,we are looking for a financial analyst to join bytecraft solutions the candidate should have experience with sql power bi excel dax responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 8 years experience and any graduate qualification are preferred,347
JOB101269,Data Analyst,FinEdge Technologies,FinEdge Technologies,COM006,"Pune, Maharashtra","We are looking for a Data Analyst to join FinEdge Technologies. The candidate should have experience with Excel, Power BI, SQL, Data Visualization. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 0-1 Years experience and Master's Degree qualification are preferred.","Excel, Power BI, SQL, Data Visualization",0-1 Years,Master's Degree,₹10-16 LPA,Internship,374.0,we are looking for a data analyst to join finedge technologies the candidate should have experience with excel power bi sql data visualization responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 0 1 years experience and master s degree qualification are preferred,363
JOB100757,  product analyst ,Quantix Analytics,Quantix Analytics,COM009,"Nagpur, Maharashtra","We are looking for a Product Analyst to join Quantix Analytics. The candidate should have experience with SQL, Power BI, Excel, DAX. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 8+ Years experience and Master's Degree qualification are preferred.","SQL, Power BI, Excel, DAX",8+ Years,Master's Degree,₹8-12 LPA,Full-Time,358.0,we are looking for a product analyst to join quantix analytics the candidate should have experience with sql power bi excel dax responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 8 years experience and master s degree qualification are preferred,346
JOB101834,Software Engineer,CloudMatrix Technologies,CloudMatrix Technologies,COM003,"Nashik, Maharashtra","We are looking for a Software Engineer to join CloudMatrix Technologies. The candidate should have experience with SQL, Power BI, Excel, DAX. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 8+ Years experience and BCA qualification are preferred.","SQL, Power BI, Excel, DAX",8+ Years,BCA,₹3-5 LPA,Part-Time,355.0,we are looking for a software engineer to join cloudmatrix technologies the candidate should have experience with sql power bi excel dax responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 8 years experience and bca qualification are preferred,343
JOB101756,Financial Analyst,FinEdge Technologies,FinEdge Technologies,COM006,"NAGPUR, MAHARASHTRA","We are looking for a Financial Analyst to join FinEdge Technologies. The candidate should have experience with Python, SQL, AWS, ETL. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 0-1 Years experience and MBA qualification are preferred.","Python, SQL, AWS, ETL",0-1 Years,MBA,,Internship,348.0,we are looking for a financial analyst to join finedge technologies the candidate should have experience with python sql aws etl responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 0 1 years experience and mba qualification are preferred,337
JOB100880,Data Scientist,Aster Technologies,Aster Technologies,COM012,"Pune, Maharashtra","We are looking for a Data Scientist to join Aster Technologies. The candidate should have experience with Python, Pandas, NumPy, SQL. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 1-3 Years experience and MBA qualification are preferred.","Python, Pandas, NumPy, SQL",1-3 Years,MBA,₹3-5 LPA,Contract,348.0,we are looking for a data scientist to join aster technologies the candidate should have experience with python pandas numpy sql responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 1 3 years experience and mba qualification are preferred,337
JOB102294,Product Analyst,InsightWorks,InsightWorks,COM007,"Pune, Maharashtra","We are looking for a Product Analyst to join InsightWorks. The candidate should have experience with Python, Pandas, Machine Learning, Scikit-learn. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 2-4 Years experience and Bachelor's Degree qualification are preferred.","Python, Pandas, Machine Learning, Scikit-learn",2-4 Years,Bachelor's Degree,,Remote,377.0,we are looking for a product analyst to join insightworks the candidate should have experience with python pandas machine learning scikit learn responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 2 4 years experience and bachelor s degree qualification are preferred,366
JOB101368,MIS Executive,InsightWorks,InsightWorks,COM007,"Nashik, Maharashtra","We are looking for a MIS Executive to join InsightWorks. The candidate should have experience with Python, SQL, AWS, ETL. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 3-5 Years experience and B.Sc. qualification are preferred.","Python, SQL, AWS, ETL",3-5 Years,B.Sc.,₹2.5-4 LPA,Internship,338.0,we are looking for a mis executive to join insightworks the candidate should have experience with python sql aws etl responsibilities include data analysis reporting dashboard creation data cleaning problem solving and collaboration with business teams candidates with 3 5 years experience and b sc qualification are preferred,326
